"municipiouf";"2013";"2015";"2017"
"Araxá, MG";49;111;141
"Campo Formoso, BA";137;118;141
"Araguaína, TO";63;106;138
"Maranguape, CE";25;123;137
"Muriaé, MG";24;117;136
"Novo Hamburgo, RS";116;138;136
"Barcarena, PA";101;95;133
"Buriticupu, MA";39;129;133
"Itaboraí, RJ";73;136;133
"Marília, SP";82;146;130
"Nova Lima, MG";87;109;130
"Rondonópolis, MT";88;114;130
"Piraquara, PR";75;97;129
"São Miguel dos Campos, AL";NA;33;129
"Sertãozinho, SP";57;107;129
"Casimiro de Abreu, RJ";92;101;128
"Tucuruí, PA";85;106;128
"Nossa Senhora do Socorro, SE";75;88;127
"Macapá, AP";151;105;126
"Poá, SP";77;175;126
"Bragança, PA";40;106;125
"Nova Iguaçu, RJ";92;165;124
"Araucária, PR";42;95;123
"Arcoverde, PE";26;119;123
"Irati, PR";31;43;123
"Serra Talhada, PE";52;107;123
"Divinópolis, MG";59;127;122
"São Leopoldo, RS";131;125;121
"Aquiraz, CE";60;81;120
"Barra do Piraí, RJ";167;128;120
"Mesquita, RJ";170;123;120
"Petrópolis, RJ";84;143;120
"Porto Seguro, BA";61;108;120
"Sorocaba, SP";41;128;119
"Alvorada, RS";43;110;118
"Leme, SP";15;96;118
"Ribeirão das Neves, MG";NA;38;117
"Breves, PA";63;110;116
"Paragominas, PA";59;82;116
"Paulo Afonso, BA";69;95;116
"Bacabal, MA";24;111;115
"Guarapari, ES";42;122;115
"Santa Helena de Goiás, GO";19;108;115
"Itabuna, BA";31;102;114
"Ituiutaba, MG";81;127;114
"Santa Rita, PB";83;94;114
"Itapetininga, SP";70;90;113
"São José, SC";85;135;113
"Acaraú, CE";34;116;112
"Igarassu, PE";6;96;112
"Itaituba, PA";54;92;112
"Itapevi, SP";62;69;112
"Petrolina, PE";50;128;112
"Porto Nacional, TO";45;80;112
"Crateús, CE";65;86;111
"Diadema, SP";51;91;111
"Formosa, GO";44;111;111
"Escada, PE";9;52;110
"Santo Antônio de Jesus, BA";104;169;110
"Arapongas, PR";50;116;109
"Itapipoca, CE";59;103;109
"Juazeiro, BA";26;62;109
"Varginha, MG";18;98;109
"Castro, PR";77;130;108
"Jataí, GO";53;110;108
"Carapicuíba, SP";18;73;107
"Cruz Alta, RS";60;100;107
"Horizonte, CE";40;52;107
"Lavras, MG";42;84;107
"Ribeira do Pombal, BA";21;105;107
"Votuporanga, SP";62;112;106
"Avaré, SP";65;98;105
"Pinhais, PR";54;75;105
"Uruguaiana, RS";79;122;105
"Camocim, CE";36;75;104
"Maricá, RJ";45;111;104
"Aracati, CE";104;114;103
"Bocaiúva, MG";55;88;103
"Camaçari, BA";49;100;103
"Conceição de Macabu, RJ";133;141;103
"Embu-Guaçu, SP";NA;NA;103
"Registro, SP";36;73;103
"Teófilo Otoni, MG";47;90;103
"Timóteo, MG";78;95;103
"Poços de Caldas, MG";40;93;102
"Cachoeirinha, RS";83;107;101
"Icó, CE";21;165;101
"Lins, SP";50;67;101
"Bauru, SP";74;116;100
"Cambé, PR";64;165;100
"Campo Largo, PR";55;109;100
"São Francisco de Itabapoana, RJ";25;64;100
"São Félix do Xingu, PA";42;55;99
"São Pedro da Aldeia, RJ";78;99;99
"Americana, SP";68;105;98
"Aracruz, ES";61;127;98
"Botucatu, SP";44;73;98
"Canoas, RS";134;97;98
"Itapeva, SP";19;114;98
"Ponte Nova, MG";26;65;98
"Batatais, SP";51;42;97
"Jundiaí, SP";64;94;97
"São Bento do Una, PE";17;113;97
"Vassouras, RJ";47;77;97
"Codó, MA";46;98;96
"Coronel Fabriciano, MG";67;97;96
"Santa Bárbara d'Oeste, SP";NA;4;96
"Tobias Barreto, SE";19;63;96
"Vitória de Santo Antão, PE";55;119;96
"Itaquaquecetuba, SP";73;129;95
